,edition,ruling,number_ruling,lie
12272,Texas,Pants on Fire!,5,1
12273,Wisconsin,Mostly True,1,0
12275,Wisconsin,False,4,1
12277,Texas,Mostly False,3,1
12278,New York,False,4,1
12279,Wisconsin,Half-True,2,0
12280,Nevada,Half-True,2,0
12281,New York,False,4,1
12282,North Carolina,Half-True,2,0
12283,Illinois,Mostly True,1,0
12285,California,Mostly False,3,1
12288,Florida,Mostly False,3,1
12290,Texas,True,0,0
12291,Texas,False,4,1
12294,Virginia,False,4,1
12295,Ohio,False,4,1
12301,Georgia,True,0,0
12303,Iowa,False,4,1
12304,Colorado,True,0,0
12306,Wisconsin,True,0,0
12310,North Carolina,Half-True,2,0
12311,Texas,True,0,0
12312,Ohio,Pants on Fire!,5,1
12313,Illinois,Mostly False,3,1
12314,Wisconsin,Half-True,2,0
12316,Texas,True,0,0
12317,California,Half-True,2,0
12318,Pennsylvania,Mostly False,3,1
12319,New York,True,0,0
12320,Texas,True,0,0
12322,Texas,True,0,0
12323,Florida,Mostly True,1,0
12325,North Carolina,Mostly False,3,1
12328,Virginia,Mostly True,1,0
12332,Florida,Mostly False,3,1
12333,Nevada,Mostly True,1,0
12336,Ohio,True,0,0
12342,Florida,Mostly False,3,1
12343,New Hampshire,Mostly False,3,1
12344,Illinois,False,4,1
12346,Colorado,True,0,0
12347,Florida,False,4,1
12348,Wisconsin,False,4,1
12349,Wisconsin,Half-True,2,0
12352,Wisconsin,Half-True,2,0
12353,Arizona,Pants on Fire!,5,1
12354,Florida,Mostly False,3,1
12355,Iowa,Mostly False,3,1
12357,North Carolina,Mostly True,1,0
12358,California,Mostly False,3,1
12359,Virginia,Half-True,2,0
12365,New Hampshire,Mostly False,3,1
12366,New Hampshire,Half-True,2,0
12367,Nevada,Half-True,2,0
12368,New York,True,0,0
12369,Florida,Mostly True,1,0
12371,New York,True,0,0
12373,Texas,False,4,1
12377,New York,Mostly True,1,0
12379,Florida,False,4,1
12381,Texas,Mostly True,1,0
12382,Florida,Half-True,2,0
12384,Virginia,True,0,0
12385,Ohio,False,4,1
12386,Illinois,Mostly True,1,0
12387,California,Mostly True,1,0
12389,Georgia,Half-True,2,0
12390,Pennsylvania,False,4,1
12395,Texas,True,0,0
12396,Colorado,True,0,0
12397,Florida,False,4,1
12398,Florida,Mostly False,3,1
12401,Virginia,Half-True,2,0
12403,Nevada,Mostly True,1,0
12404,Florida,True,0,0
12405,Florida,Half-True,2,0
12406,Wisconsin,False,4,1
12407,Colorado,False,4,1
12408,Ohio,True,0,0
12409,Arizona,Half-True,2,0
12411,California,Mostly False,3,1
12412,Missouri,Mostly True,1,0
12413,Pennsylvania,True,0,0
12416,Wisconsin,Half-True,2,0
12417,Wisconsin,Mostly True,1,0
12418,Florida,Mostly False,3,1
12420,Georgia,Half-True,2,0
12422,Florida,Mostly True,1,0
12424,Illinois,Half-True,2,0
12425,Wisconsin,Mostly True,1,0
12428,Texas,Mostly True,1,0
12429,Texas,True,0,0
12430,New York,True,0,0
12431,New Hampshire,Half-True,2,0
12434,Virginia,Mostly True,1,0
12449,Florida,Mostly True,1,0
12450,California,Mostly False,3,1
12453,Illinois,Mostly False,3,1
12454,Colorado,Mostly False,3,1
12455,Wisconsin,False,4,1
12456,Texas,Mostly False,3,1
12457,New Hampshire,Mostly True,1,0
12459,Texas,Half-True,2,0
12461,Nevada,Half-True,2,0
12463,Ohio,False,4,1
12464,Wisconsin,False,4,1
12465,Wisconsin,Mostly False,3,1
12466,Florida,False,4,1
12467,Florida,Half-True,2,0
12468,Florida,Mostly False,3,1
12471,Arizona,Mostly False,3,1
12472,Georgia,Half-True,2,0
12473,California,Half-True,2,0
12474,New York,False,4,1
12476,New York,True,0,0
12480,Virginia,False,4,1
12481,Missouri,Half-True,2,0
12482,Wisconsin,Mostly True,1,0
12483,Virginia,Half-True,2,0
12484,Illinois,True,0,0
12485,Florida,Half-True,2,0
12486,Pennsylvania,True,0,0
12487,California,Half-True,2,0
12491,Virginia,Mostly True,1,0
12496,Virginia,True,0,0
12501,Illinois,Mostly False,3,1
12502,Wisconsin,False,4,1
12505,Colorado,False,4,1
12506,Arizona,Half-True,2,0
12510,Pennsylvania,False,4,1
12511,Ohio,Mostly False,3,1
12512,Wisconsin,True,0,0
12513,New Hampshire,Mostly False,3,1
12514,Missouri,Mostly True,1,0
12515,Missouri,Mostly True,1,0
12517,New Hampshire,Mostly False,3,1
12518,Nevada,Mostly False,3,1
12520,California,Half-True,2,0
12522,New Hampshire,Mostly True,1,0
12523,New York,Mostly False,3,1
12526,Florida,Mostly True,1,0
12527,Texas,Mostly False,3,1
12528,Texas,Half-True,2,0
12529,California,False,4,1
12530,Texas,False,4,1
12542,Virginia,Mostly False,3,1
12543,Wisconsin,True,0,0
